Example, Gecode, Time(ms), Chuffed, Time(ms), Solver
1, Good, 284, Good, 256, 5.0
2, Good, 315, Good, 359, 5.0
3, Good, 267, Good, 253, 5.0
4, Good, 267, Good, 258, 5.0
5, Good, 281, Good, 260, 5.0
6, Good, 271, Good, 269, 5.0
7, Good, 313, Good, 287, 5.0
8, Good, 281, Good, 287, 5.0
9, Good, 598000 (9min 58s)  , Good, 1034, 5.1
10, Good, 459, N Good, , 5.0
11, N Good, , N Good, , 5.0
12, N Good,  , N Good, , 5.0
13, Good, 942, N Good, , 5.0
14, Good, 1741, N Good, , 5.0
15, Good, 629, N Good, , 5.0
16, Good, 1205, N Good, , 5.0
17, Good, 830, N Good, , 5.0
18, Good, 948, N Good, , 5.0
19, Good, 1809, N Good, , 5.0
20, Good, 64000, N Good, , 5.0